Index,Timestamp (UTC),B200 index
B200,2026-06-09T20:00:00Z,4.55
B200,2026-06-10T20:00:00Z,4.79
B200,2026-06-11T20:00:00Z,4.61
B200,2026-06-12T20:00:00Z,4.55
B200,2026-06-13T20:00:00Z,4.52
B200,2026-06-14T20:00:00Z,4.53
B200,2026-06-15T20:00:00Z,4.5
B200,2026-06-16T20:00:00Z,4.38
B200,2026-06-17T20:00:00Z,4.37
B200,2026-06-18T20:00:00Z,4.22
B200,2026-06-19T20:00:00Z,4.3
B200,2026-06-20T20:00:00Z,4.28
B200,2026-06-21T20:00:00Z,4.22
B200,2026-06-22T20:00:00Z,4.29
B200,2026-06-23T20:00:00Z,4.37
B200,2026-06-24T20:00:00Z,4.44
B200,2026-06-25T20:00:00Z,4.48
B200,2026-06-26T20:00:00Z,4.5
B200,2026-06-27T20:00:00Z,4.42
B200,2026-06-28T20:00:00Z,4.38
B200,2026-06-29T20:00:00Z,4.41
B200,2026-06-30T20:00:00Z,4.46
B200,2026-07-01T20:00:00Z,5.15
B200,2026-07-02T20:00:00Z,5.13
B200,2026-07-03T20:00:00Z,5.14
B200,2026-07-04T20:00:00Z,5.14
B200,2026-07-05T20:00:00Z,5.14
B200,2026-07-06T20:00:00Z,5.22
B200,2026-07-07T20:00:00Z,5.3
B200,2026-07-08T20:00:00Z,5.74
B200,2026-07-09T20:00:00Z,6.15
B200,2026-07-10T20:00:00Z,6.69
B200,2026-07-11T20:00:00Z,6.79
B200,2026-07-12T20:00:00Z,6.75
B200,2026-07-13T20:00:00Z,6.94
B200,2026-07-14T20:00:00Z,7.28
B200,2026-07-15T20:00:00Z,7.26
B200,2026-07-16T20:00:00Z,7.25
B200,2026-07-17T20:00:00Z,7.24
B200,2026-07-18T20:00:00Z,7.16
B200,2026-07-19T20:00:00Z,7.14
B200,2026-07-20T20:00:00Z,7.12
B200,2026-07-21T20:00:00Z,7.05
B200,2026-07-22T20:00:00Z,6.9
B200,2026-07-23T20:00:00Z,6.77
B200,2026-07-24T20:00:00Z,6.78
B200,2026-07-25T20:00:00Z,6.7
B200,2026-07-26T20:00:00Z,6.58
B200,2026-07-27T20:00:00Z,6.5
B200,2026-07-28T20:00:00Z,6.45
B200,2026-07-29T20:00:00Z,6.44
B200,2026-07-30T20:00:00Z,6.37
B200,2026-07-31T20:00:00Z,6.41
B200,2026-08-01T20:00:00Z,6.43
B200,2026-08-02T20:00:00Z,6.33
B200,2026-08-03T20:00:00Z,6.09
B200,2026-08-04T20:00:00Z,5.96
B200,2026-08-05T20:00:00Z,5.84
B200,2026-08-06T20:00:00Z,5.75
B200,2026-08-07T20:00:00Z,5.76
B200,2026-08-08T20:00:00Z,5.73
B200,2026-08-09T20:00:00Z,5.7
B200,2026-08-10T20:00:00Z,5.68
B200,2026-08-11T20:00:00Z,5.71
B200,2026-08-12T20:00:00Z,5.72
B200,2026-08-13T20:00:00Z,5.82
B200,2026-08-14T20:00:00Z,6
B200,2026-08-15T20:00:00Z,5.91
B200,2026-08-16T20:00:00Z,5.93
B200,2026-08-17T20:00:00Z,6.17
B200,2026-08-18T20:00:00Z,6.6
B200,2026-08-19T20:00:00Z,6.63
B200,2026-08-20T20:00:00Z,6.87
B200,2026-08-21T20:00:00Z,6.95
B200,2026-08-22T20:00:00Z,6.74
B200,2026-08-23T20:00:00Z,6.64
B200,2026-08-24T20:00:00Z,6.55
B200,2026-08-25T20:00:00Z,6.45
B200,2026-08-26T20:00:00Z,6.22
B200,2026-08-27T20:00:00Z,6.03
B200,2026-08-28T20:00:00Z,6.01
B200,2026-08-29T20:00:00Z,6.06
B200,2026-08-30T20:00:00Z,6.05
B200,2026-08-31T20:00:00Z,6.07
B200,2026-09-01T20:00:00Z,6.4
B200,2026-09-02T20:00:00Z,6.46
B200,2026-09-03T20:00:00Z,6.28
B200,2026-09-04T20:00:00Z,6.4
B200,2026-09-05T20:00:00Z,6.42
B200,2026-09-06T20:00:00Z,6.64
B200,2026-09-07T20:00:00Z,6.75
