Index,Timestamp (UTC),H200 index
H200,2026-06-09T20:00:00Z,4.13
H200,2026-06-10T20:00:00Z,3.79
H200,2026-06-11T20:00:00Z,3.8
H200,2026-06-12T20:00:00Z,3.78
H200,2026-06-13T20:00:00Z,3.67
H200,2026-06-14T20:00:00Z,3.57
H200,2026-06-15T20:00:00Z,3.59
H200,2026-06-16T20:00:00Z,3.6
H200,2026-06-17T20:00:00Z,3.51
H200,2026-06-18T20:00:00Z,3.47
H200,2026-06-19T20:00:00Z,3.5
H200,2026-06-20T20:00:00Z,3.46
H200,2026-06-21T20:00:00Z,3.43
H200,2026-06-22T20:00:00Z,3.44
H200,2026-06-23T20:00:00Z,3.38
H200,2026-06-24T20:00:00Z,3.35
H200,2026-06-25T20:00:00Z,2.99
H200,2026-06-26T20:00:00Z,3.49
H200,2026-06-27T20:00:00Z,3.57
H200,2026-06-28T20:00:00Z,3.57
H200,2026-06-29T20:00:00Z,3.61
H200,2026-06-30T20:00:00Z,3.65
H200,2026-07-01T20:00:00Z,3.89
H200,2026-07-02T20:00:00Z,4.02
H200,2026-07-03T20:00:00Z,4.06
H200,2026-07-04T20:00:00Z,4.02
H200,2026-07-05T20:00:00Z,4.03
H200,2026-07-06T20:00:00Z,4.1
H200,2026-07-07T20:00:00Z,4.01
H200,2026-07-08T20:00:00Z,4.1
H200,2026-07-09T20:00:00Z,4.21
H200,2026-07-10T20:00:00Z,4.27
H200,2026-07-11T20:00:00Z,4.47
H200,2026-07-12T20:00:00Z,4.39
H200,2026-07-13T20:00:00Z,4.39
H200,2026-07-14T20:00:00Z,4.36
H200,2026-07-15T20:00:00Z,4.62
H200,2026-07-16T20:00:00Z,4.77
H200,2026-07-17T20:00:00Z,4.79
H200,2026-07-18T20:00:00Z,4.78
H200,2026-07-19T20:00:00Z,4.9
H200,2026-07-20T20:00:00Z,4.99
H200,2026-07-21T20:00:00Z,4.96
H200,2026-07-22T20:00:00Z,4.84
H200,2026-07-23T20:00:00Z,4.66
H200,2026-07-24T20:00:00Z,4.55
H200,2026-07-25T20:00:00Z,4.55
H200,2026-07-26T20:00:00Z,4.86
H200,2026-07-27T20:00:00Z,5.31
H200,2026-07-28T20:00:00Z,5
H200,2026-07-29T20:00:00Z,4.98
H200,2026-07-30T20:00:00Z,5.4
H200,2026-07-31T20:00:00Z,5.62
H200,2026-08-01T20:00:00Z,5.25
H200,2026-08-02T20:00:00Z,4.82
H200,2026-08-03T20:00:00Z,4.36
H200,2026-08-04T20:00:00Z,4.54
H200,2026-08-05T20:00:00Z,4.81
H200,2026-08-06T20:00:00Z,4.92
H200,2026-08-07T20:00:00Z,4.83
H200,2026-08-08T20:00:00Z,4.56
H200,2026-08-09T20:00:00Z,4.67
H200,2026-08-10T20:00:00Z,4.67
H200,2026-08-11T20:00:00Z,4.49
H200,2026-08-12T20:00:00Z,4.51
H200,2026-08-13T20:00:00Z,4.7
H200,2026-08-14T20:00:00Z,4.86
H200,2026-08-15T20:00:00Z,4.94
H200,2026-08-16T20:00:00Z,4.75
H200,2026-08-17T20:00:00Z,5
H200,2026-08-18T20:00:00Z,5.11
H200,2026-08-19T20:00:00Z,5.29
H200,2026-08-20T20:00:00Z,5.44
H200,2026-08-21T20:00:00Z,5.09
H200,2026-08-22T20:00:00Z,4.85
H200,2026-08-23T20:00:00Z,4.42
H200,2026-08-24T20:00:00Z,4.33
H200,2026-08-25T20:00:00Z,4.26
H200,2026-08-26T20:00:00Z,4.24
H200,2026-08-27T20:00:00Z,4.29
H200,2026-08-28T20:00:00Z,4.49
H200,2026-08-29T20:00:00Z,4.44
H200,2026-08-30T20:00:00Z,4.5
H200,2026-08-31T20:00:00Z,4.42
H200,2026-09-01T20:00:00Z,4.51
H200,2026-09-02T20:00:00Z,4.47
H200,2026-09-03T20:00:00Z,4.59
H200,2026-09-04T20:00:00Z,4.63
H200,2026-09-05T20:00:00Z,4.55
H200,2026-09-06T20:00:00Z,4.47
H200,2026-09-07T20:00:00Z,4.56
