Index,Timestamp (UTC),RTX 5090 index
RTX 5090,2026-06-09T20:00:00Z,0.84
RTX 5090,2026-06-10T20:00:00Z,0.82
RTX 5090,2026-06-11T20:00:00Z,0.77
RTX 5090,2026-06-12T20:00:00Z,0.74
RTX 5090,2026-06-13T20:00:00Z,0.73
RTX 5090,2026-06-14T20:00:00Z,0.7
RTX 5090,2026-06-15T20:00:00Z,0.69
RTX 5090,2026-06-16T20:00:00Z,0.69
RTX 5090,2026-06-17T20:00:00Z,0.68
RTX 5090,2026-06-18T20:00:00Z,0.61
RTX 5090,2026-06-19T20:00:00Z,0.58
RTX 5090,2026-06-20T20:00:00Z,0.57
RTX 5090,2026-06-21T20:00:00Z,0.56
RTX 5090,2026-06-22T20:00:00Z,0.54
RTX 5090,2026-06-23T20:00:00Z,0.54
RTX 5090,2026-06-24T20:00:00Z,0.53
RTX 5090,2026-06-25T20:00:00Z,0.54
RTX 5090,2026-06-26T20:00:00Z,0.54
RTX 5090,2026-06-27T20:00:00Z,0.54
RTX 5090,2026-06-28T20:00:00Z,0.54
RTX 5090,2026-06-29T20:00:00Z,0.55
RTX 5090,2026-06-30T20:00:00Z,0.53
RTX 5090,2026-07-01T20:00:00Z,0.53
RTX 5090,2026-07-02T20:00:00Z,0.52
RTX 5090,2026-07-03T20:00:00Z,0.52
RTX 5090,2026-07-04T20:00:00Z,0.52
RTX 5090,2026-07-05T20:00:00Z,0.51
RTX 5090,2026-07-06T20:00:00Z,0.51
RTX 5090,2026-07-07T20:00:00Z,0.51
RTX 5090,2026-07-08T20:00:00Z,0.51
RTX 5090,2026-07-09T20:00:00Z,0.5
RTX 5090,2026-07-10T20:00:00Z,0.51
RTX 5090,2026-07-11T20:00:00Z,0.51
RTX 5090,2026-07-12T20:00:00Z,0.51
RTX 5090,2026-07-13T20:00:00Z,0.51
RTX 5090,2026-07-14T20:00:00Z,0.51
RTX 5090,2026-07-15T20:00:00Z,0.5
RTX 5090,2026-07-16T20:00:00Z,0.5
RTX 5090,2026-07-17T20:00:00Z,0.5
RTX 5090,2026-07-18T20:00:00Z,0.5
RTX 5090,2026-07-19T20:00:00Z,0.5
RTX 5090,2026-07-20T20:00:00Z,0.49
RTX 5090,2026-07-21T20:00:00Z,0.49
RTX 5090,2026-07-22T20:00:00Z,0.49
RTX 5090,2026-07-23T20:00:00Z,0.49
RTX 5090,2026-07-24T20:00:00Z,0.49
RTX 5090,2026-07-25T20:00:00Z,0.48
RTX 5090,2026-07-26T20:00:00Z,0.48
RTX 5090,2026-07-27T20:00:00Z,0.49
RTX 5090,2026-07-28T20:00:00Z,0.48
RTX 5090,2026-07-29T20:00:00Z,0.49
RTX 5090,2026-07-30T20:00:00Z,0.49
RTX 5090,2026-07-31T20:00:00Z,0.49
RTX 5090,2026-08-01T20:00:00Z,0.49
RTX 5090,2026-08-02T20:00:00Z,0.49
RTX 5090,2026-08-03T20:00:00Z,0.48
RTX 5090,2026-08-04T20:00:00Z,0.49
RTX 5090,2026-08-05T20:00:00Z,0.49
RTX 5090,2026-08-06T20:00:00Z,0.49
RTX 5090,2026-08-07T20:00:00Z,0.49
RTX 5090,2026-08-08T20:00:00Z,0.49
RTX 5090,2026-08-09T20:00:00Z,0.49
RTX 5090,2026-08-10T20:00:00Z,0.49
RTX 5090,2026-08-11T20:00:00Z,0.5
RTX 5090,2026-08-12T20:00:00Z,0.51
RTX 5090,2026-08-13T20:00:00Z,0.5
RTX 5090,2026-08-14T20:00:00Z,0.5
RTX 5090,2026-08-15T20:00:00Z,0.51
RTX 5090,2026-08-16T20:00:00Z,0.51
RTX 5090,2026-08-17T20:00:00Z,0.52
RTX 5090,2026-08-18T20:00:00Z,0.53
RTX 5090,2026-08-19T20:00:00Z,0.52
RTX 5090,2026-08-20T20:00:00Z,0.52
RTX 5090,2026-08-21T20:00:00Z,0.52
RTX 5090,2026-08-22T20:00:00Z,0.53
RTX 5090,2026-08-23T20:00:00Z,0.52
RTX 5090,2026-08-24T20:00:00Z,0.53
RTX 5090,2026-08-25T20:00:00Z,0.53
RTX 5090,2026-08-26T20:00:00Z,0.54
RTX 5090,2026-08-27T20:00:00Z,0.53
RTX 5090,2026-08-28T20:00:00Z,0.53
RTX 5090,2026-08-29T20:00:00Z,0.53
RTX 5090,2026-08-30T20:00:00Z,0.53
RTX 5090,2026-08-31T20:00:00Z,0.54
RTX 5090,2026-09-01T20:00:00Z,0.62
RTX 5090,2026-09-02T20:00:00Z,0.63
RTX 5090,2026-09-03T20:00:00Z,0.63
RTX 5090,2026-09-04T20:00:00Z,0.63
RTX 5090,2026-09-05T20:00:00Z,0.63
RTX 5090,2026-09-06T20:00:00Z,0.62
RTX 5090,2026-09-07T20:00:00Z,0.62
